dac_inputs (V),adc_outputs
1.093744,113
1.094349,114
1.094955,113
1.095560,114
1.096166,114
1.096772,114
1.097377,114
1.097983,114
1.098589,114
1.099194,115
1.099800,114
1.100405,114
1.101011,115
1.101617,114
1.102222,115
1.102828,114
1.103433,114
1.104039,114
1.104645,114
1.105250,114
1.105856,115
1.106462,114
1.107067,115
1.107673,115
1.108278,116
1.108884,114
1.109490,115
1.110095,116
1.110701,116
1.111306,115
1.111912,116
1.112518,116
1.113123,116
1.113729,116
1.114335,116
1.114940,115
1.115546,116
1.116151,116
1.116757,116
1.117363,116
1.117968,116
1.118574,116
1.119179,117
1.119785,117
1.120391,116
1.120996,116
1.121602,117
1.122208,117
1.122813,117
1.123419,116
1.124024,117
1.124630,117
1.125236,117
1.125841,117
1.126447,117
1.127053,117
1.127658,118
1.128264,117
1.128869,117
1.129475,117
1.130081,118
1.130686,118
1.131292,118
1.131897,117
1.132503,118
1.133109,118
1.133714,118
1.134320,118
1.134926,118
1.135531,118
1.136137,118
1.136742,119
1.137348,118
1.137954,118
1.138559,118
1.139165,118
1.139770,119
1.140376,119
1.140982,119
1.141587,119
1.142193,118
1.142799,120
1.143404,119
1.144010,118
1.144615,119
1.145221,119
1.145827,119
1.146432,119
1.147038,120
1.147643,120
1.148249,119
1.148855,120
1.149460,119
1.150066,120
1.150672,119
1.151277,119
1.151883,119
1.152488,119
1.153094,119
1.153700,120
1.154305,120
1.154911,120
1.155516,120
1.156122,121
1.156728,120
1.157333,120
1.157939,120
1.158545,121
1.159150,121
1.159756,121
1.160361,120
1.160967,121
1.161573,121
1.162178,121
1.162784,121
1.163389,121
1.163995,121
1.164601,121
1.165206,121
1.165812,121
1.166418,121
1.167023,121
1.167629,122
1.168234,121
1.168840,121
1.169446,121
1.170051,121
1.170657,122
1.171263,122
1.171868,121
1.172474,122
1.173079,123
1.173685,122
1.174291,122
1.174896,122
1.175502,122
1.176107,123
1.176713,122
1.177319,123
1.177924,122
1.178530,122
1.179136,123
1.179741,123
1.180347,123
1.180952,123
1.181558,123
1.182164,123
1.182769,123
1.183375,123
1.183980,124
1.184586,123
1.185192,123
1.185797,123
1.186403,123
1.187009,124
1.187614,123
1.188220,123
1.188825,124
1.189431,123
1.190037,123
1.190642,124
1.191248,124
1.191853,124
1.192459,125
1.193065,124
1.193670,124
1.194276,124
1.194882,124
1.195487,124
1.196093,125
1.196698,125
1.197304,124
1.197910,124
1.198515,124
1.199121,125
1.199726,125
1.200332,124
